,LocalCidade,LocalUF,RegiaoBrasil,PopEstimada_2018,PopCenso_2010,IDHM,ReceitasRealizadas_2014,DespesasEmpenhadas_2014,Pib_2014
1088,BAIA FORMOSA,RN,NE,9218,8573,0.609,24400,20738,15692.96
1091,BENTO FERNANDES,RN,NE,5469,5113,0.582,14397,13548,7356.76
1094,BREJINHO,RN,NE,12609,11577,0.592,22220,21708,9702.15
1096,CAICARA DO RIO DO VENTO,RN,NE,3652,3308,0.587,12913,11117,8679.24
1097,CAICO,RN,NE,67554,62709,0.71,99538,93594,15122.09
1098,CAMPO REDONDO,RN,NE,11142,10266,0.626,20038,18081,6235.85
1101,CARNAUBA DOS DANTAS,RN,NE,8119,7429,0.659,15431,14222,9687.8
1103,CEARA-MIRIM,RN,NE,73099,68141,0.616,121143,116389,9994.77
1104,CERRO CORA,RN,NE,11178,10916,0.607,22381,23392,8738.26
1105,CORONEL EZEQUIEL,RN,NE,5508,5405,0.587,13753,12198,7432.71
1106,CORONEL JOAO PESSOA,RN,NE,4908,4772,0.578,15549,14717,7259.15
1107,CRUZETA,RN,NE,8014,7967,0.654,17960,15554,10485.41
1108,CURRAIS NOVOS,RN,NE,44664,42652,0.691,70315,68467,14042.61
1109,DOUTOR SEVERIANO,RN,NE,7080,6492,0.621,18381,16656,6721.99
1111,ENCANTO,RN,NE,5608,5231,0.629,14398,14496,6605.44
1112,EQUADOR,RN,NE,6036,5822,0.623,14886,14280,10250.05
1113,ESPIRITO SANTO,RN,NE,10527,10475,0.558,17811,15650,5838.6
1114,EXTREMOZ,RN,NE,28222,24569,0.66,63734,65468,10872.03
1116,FERNANDO PEDROZA,RN,NE,3039,2854,0.597,11116,9737,7750.61
1119,FRUTUOSO GOMES,RN,NE,4095,4233,0.597,12785,11583,8153.6
1120,GALINHOS,RN,NE,2726,2159,0.564,14981,15809,27161.1
1121,GOIANINHA,RN,NE,25980,22481,0.638,78813,76838,11731.15
1123,GROSSOS,RN,NE,10302,9393,0.664,35754,35153,12543.77
1125,IELMO MARINHO,RN,NE,13628,12171,0.55,40503,37656,7204.24
1126,IPANGUACU,RN,NE,15354,13856,0.603,28952,29298,8015.94
1127,IPUEIRA,RN,NE,2228,2077,0.679,10519,9613,9867.25
1128,ITAJA,RN,NE,7501,6932,0.624,15314,13223,8709.86
1129,ITAU,RN,NE,5858,5564,0.614,14915,14032,7469.44
1130,JACANA,RN,NE,9026,7925,0.604,15451,14708,6235.16
1131,JANDAIRA,RN,NE,6863,6801,0.569,16300,14379,8738.5
1132,JANDUIS,RN,NE,5289,5345,0.615,14517,14500,9823.44
1133,JANUARIO CICCO,RN,NE,10087,9011,0.574,19142,18377,6014.11
1134,JAPI,RN,NE,5117,5522,0.569,12966,11823,6546.85
1135,JARDIM DE ANGICOS,RN,NE,2617,2607,0.565,12012,10481,8942.03
1136,JARDIM DE PIRANHAS,RN,NE,14730,13506,0.603,26575,27678,9356.6
1137,JARDIM DO SERIDO,RN,NE,12395,12113,0.663,20996,19244,11989.25
1140,JOSE DA PENHA,RN,NE,5957,5868,0.608,13947,12700,7448.53
1141,JUCURUTU,RN,NE,18274,17692,0.601,37628,35513,9472.43
1142,JUNDIA,RN,NE,3873,3582,0.595,12188,11822,7108.35
1143,LAGOA D'ANTA,RN,NE,6728,6227,0.601,14536,13462,7024.11
1144,LAGOA DE PEDRAS,RN,NE,7503,6989,0.553,16980,15933,7578.38
1145,LAGOA DE VELHOS,RN,NE,2731,2668,0.589,12216,10244,10931.13
1146,LAGOA NOVA,RN,NE,15477,13983,0.585,28831,27651,8369.04
1147,LAGOA SALGADA,RN,NE,8192,7564,0.582,16722,16171,7039.73
1148,LAJES,RN,NE,11208,10381,0.624,23068,23155,8986.31
1149,LAJES PINTADAS,RN,NE,4755,4612,0.625,13178,11464,7863.5
1150,LUCRECIA,RN,NE,3966,3633,0.646,12707,11570,10174.79
1151,LUIS GOMES,RN,NE,10086,9610,0.608,18550,17769,6238.43
1152,MACAIBA,RN,NE,79743,69467,0.64,144529,130785,18110.53
1154,MAJOR SALES,RN,NE,3978,3536,0.617,12779,12072,8483.67
1155,MARCELINO VIEIRA,RN,NE,8358,8265,0.609,15937,15829,6915.22
1156,MARTINS,RN,NE,8692,8218,0.622,17124,16066,7811.14
1157,MAXARANGUAPE,RN,NE,12194,10441,0.608,24567,23276,8294.57
1159,MONTANHAS,RN,NE,11295,11413,0.557,21402,20888,6955.34
1161,MONTE DAS GAMELEIRAS,RN,NE,2127,2261,0.598,11943,11538,8874.28
1162,MOSSORO,RN,NE,294076,259815,0.72,536138,506198,20983.8
1163,NATAL,RN,NE,877640,803739,0.763,2130990,2239390,24029.17
1164,NISIA FLORESTA,RN,NE,27260,23784,0.622,51133,47260,12557.94
1165,NOVA CRUZ,RN,NE,37233,35490,0.629,43652,49413,10973.47
1166,OLHO-D'AGUA DO BORGES,RN,NE,4272,4295,0.585,14279,12978,7702.81
1167,OURO BRANCO,RN,NE,4812,4699,0.645,14044,12678,8434.45
1168,PARANA,RN,NE,4232,3952,0.589,12592,11757,7099.09
1169,PARAU,RN,NE,3787,3859,0.603,13043,11342,8393.95
1170,PARAZINHO,RN,NE,5201,4845,0.549,18158,16365,43640.73
1171,PARELHAS,RN,NE,21408,20354,0.676,36727,32878,14625.24
1172,RIO DO FOGO,RN,NE,10789,10059,0.569,27817,27532,10312.76
1173,PASSA E FICA,RN,NE,13076,11100,0.606,23811,22341,7866.87
1174,PASSAGEM,RN,NE,3075,2895,0.589,11795,9892,8653.5
1175,PATU,RN,NE,12701,11964,0.618,21381,19957,8387.53
1176,SANTA MARIA,RN,NE,5480,4762,0.59,14122,13160,10875.29
1177,PAU DOS FERROS,RN,NE,30183,27745,0.678,53443,57782,13451.82
1178,PEDRA GRANDE,RN,NE,3275,3521,0.559,14596,13084,43294.53
1179,PEDRA PRETA,RN,NE,2478,2590,0.558,12825,11254,9015.96
1180,PEDRO AVELINO,RN,NE,6780,7171,0.583,17083,17901,7428.72
1181,PEDRO VELHO,RN,NE,14767,14114,0.568,28158,26493,7401.48
1182,PENDENCIAS,RN,NE,14984,13432,0.631,38184,37888,19011.24
1183,PILOES,RN,NE,3806,3453,0.614,12062,10856,8539.74
1184,POCO BRANCO,RN,NE,15294,13949,0.587,25215,21393,6168.78
1185,PORTALEGRE,RN,NE,7827,7320,0.621,15324,11810,6831.93
1186,PORTO DO MANGUE,RN,NE,6765,5217,0.59,19696,17414,20958.91
1187,PRESIDENTE JUSCELINO,RN,NE,10266,8768,0.563,21472,20427,6844.58
1188,PUREZA,RN,NE,9516,8424,0.567,19530,17301,7587.94
1191,RIACHO DA CRUZ,RN,NE,3543,3165,0.584,13190,11355,7568.8
1192,RIACHO DE SANTANA,RN,NE,4209,4156,0.591,12914,13478,7301.28
1193,RIACHUELO,RN,NE,8034,7067,0.592,16708,14559,7116.46
1195,TIBAU,RN,NE,4071,3687,0.635,29786,33642,21549.19
1196,RUY BARBOSA,RN,NE,3608,3595,0.605,13331,12600,7632.38
1197,SANTA CRUZ,RN,NE,39355,35797,0.635,61672,59544,10623.23
1198,SANTANA DO MATOS,RN,NE,12954,13809,0.591,26956,26980,8715.69
1199,SANTANA DO SERIDO,RN,NE,2670,2526,0.642,11607,10213,11980.31
1200,SANTO ANTONIO,RN,NE,23988,22216,0.62,37499,33991,7978.87
1201,SAO BENTO DO NORTE,RN,NE,2778,2975,0.555,12654,11029,26428.86
1202,SAO BENTO DO TRAIRI,RN,NE,4401,3905,0.595,13029,12382,8077.25
1203,SAO FERNANDO,RN,NE,3573,3401,0.608,12291,11116,14505.45
1204,SAO FRANCISCO DO OESTE,RN,NE,4200,3874,0.628,12158,11467,7563.71
1205,SAO GONCALO DO AMARANTE,RN,NE,101102,87668,0.661,213651,217536,15833.31
1206,SAO JOAO DO SABUGI,RN,NE,6179,5922,0.655,13843,12577,8331.91
1207,SAO JOSE DE MIPIBU,RN,NE,43640,39776,0.611,77895,73355,16044.07
1209,SAO JOSE DO SERIDO,RN,NE,4602,4231,0.694,14777,13270,12553.69
1210,SAO MIGUEL,RN,NE,23380,22157,0.606,41647,36248,8280.24
1211,SAO MIGUEL DE TOUROS,RN,NE,9531,8670,0.591,20480,19915,16542.52
1212,SAO PAULO DO POTENGI,RN,NE,17436,15843,0.622,32403,33531,8180.53
1213,SAO PEDRO,RN,NE,6014,6235,0.589,15224,14834,8409.84
1214,SAO RAFAEL,RN,NE,8212,8111,0.611,15727,14312,7915.95
1216,SAO VICENTE,RN,NE,6397,6028,0.642,14188,13133,8189.64
1217,SENADOR ELOI DE SOUZA,RN,NE,6044,5637,0.583,14777,13537,6335.63
1218,SENADOR GEORGINO AVELINO,RN,NE,4395,3924,0.57,14481,13138,20969.66
1219,SERRA DE SAO BENTO,RN,NE,5774,5743,0.582,13416,12392,6311.56
1220,SERRA DO MEL,RN,NE,11790,10287,0.614,24836,24903,9217.11
1221,SERRA NEGRA DO NORTE,RN,NE,8065,7770,0.597,16577,14975,8634.01
1222,SERRINHA,RN,NE,6281,6581,0.592,17434,16263,7819.6
1223,SERRINHA DOS PINTOS,RN,NE,4784,4540,0.598,13278,12248,7118.03
1224,SEVERIANO MELO,RN,NE,2799,5752,0.604,14678,13612,9878.48
1226,TABOLEIRO GRANDE,RN,NE,2545,2317,0.612,11665,10951,8404.01
1227,TAIPU,RN,NE,12261,11836,0.569,23513,21227,8008.48
1228,TANGARA,RN,NE,15581,14175,0.608,29222,26518,7603.83
1229,TENENTE ANANIAS,RN,NE,10715,9883,0.592,20743,19907,7094.78
1231,TIBAU DO SUL,RN,NE,13916,11385,0.645,31792,32145,19930.0
1232,TIMBAUBA DOS BATISTAS,RN,NE,2407,2295,0.64,11788,10278,11586.5
1235,UMARIZAL,RN,NE,10591,10659,0.618,20887,19682,10197.78
1236,UPANEMA,RN,NE,14516,12992,0.596,32506,30970,9810.6
1237,VARZEA,RN,NE,5485,5236,0.626,12318,11664,6725.47
1238,VENHA-VER,RN,NE,4149,3821,0.555,15729,13700,7407.97
1239,VERA CRUZ,RN,NE,12323,10719,0.587,23743,20922,7738.55
1240,VICOSA,RN,NE,1712,1618,0.592,11017,9570,8656.37
1242,AGUA BRANCA,PB,NE,10161,9449,0.572,21879,20057,6903.37
1243,AGUIAR,PB,NE,5571,5530,0.597,16267,15023,7213.82
1244,ALAGOA GRANDE,PB,NE,28623,28479,0.582,43909,42509,7825.72
1245,ALAGOA NOVA,PB,NE,20589,19681,0.576,37528,35383,12519.08
1246,ALAGOINHA,PB,NE,14367,13576,0.595,35330,25168,6393.75
1247,ALCANTIL,PB,NE,5473,5239,0.578,14380,13739,6808.93
1248,ALGODAO DE JANDAIRA,PB,NE,2488,2366,0.548,13279,10980,9282.78
1249,ALHANDRA,PB,NE,19391,18007,0.582,67916,65129,37433.98
1250,SAO JOAO DO RIO DO PEIXE,PB,NE,17941,18201,0.608,34621,32131,8558.62
1251,AMPARO,PB,NE,2227,2088,0.606,11209,9661,9152.67
1252,APARECIDA,PB,NE,8337,7676,0.578,15648,14377,8508.89
1253,ARACAGI,PB,NE,17079,17224,0.549,30774,27700,8005.31
1254,ARARA,PB,NE,13438,12653,0.548,24933,21719,6314.12
1255,ARARUNA,PB,NE,20215,18879,0.567,35758,34047,6925.9
1256,AREIA,PB,NE,22978,23829,0.594,35861,32680,8369.05
1257,AREIA DE BARAUNAS,PB,NE,2140,1927,0.562,10525,9269,8064.83
1258,AREIAL,PB,NE,6935,6470,0.608,15277,14384,7286.25
1259,AROEIRAS,PB,NE,19190,19082,0.548,34617,36300,6826.2
1260,ASSUNCAO,PB,NE,3870,3522,0.609,12266,10935,8295.32
1261,BAIA DA TRAICAO,PB,NE,8933,8012,0.581,19022,18100,8030.47
1262,BANANEIRAS,PB,NE,21210,21851,0.568,42227,37555,9309.49
1263,BARAUNA,PB,NE,4831,4220,0.558,12641,11585,7282.58
1264,BARRA DE SANTANA,PB,NE,8249,8206,0.567,16448,15198,7598.18
1265,BARRA DE SANTA ROSA,PB,NE,15268,14157,0.562,28447,26948,7159.81
1266,BARRA DE SAO MIGUEL,PB,NE,5939,5611,0.572,14463,13027,7096.69
1267,BAYEUX,PB,NE,96550,99716,0.649,128102,134418,11829.33
1268,BELEM,PB,NE,17640,17093,0.592,31795,28006,8462.78
1269,BELEM DO BREJO DO CRUZ,PB,NE,7335,7143,0.578,21629,21024,7549.22
1270,BERNARDINO BATISTA,PB,NE,3393,3075,0.558,15480,13952,7726.97
1273,BOM JESUS,PB,NE,2547,2400,0.597,13138,11099,9298.05
1274,BOM SUCESSO,PB,NE,4994,5035,0.592,12007,11273,6966.84
1275,BONITO DE SANTA FE,PB,NE,11797,10804,0.574,21137,21352,6988.32
1276,BOQUEIRAO,PB,NE,17751,16888,0.607,35697,33769,9511.77
1277,IGARACY,PB,NE,6186,6156,0.61,14799,13350,7656.03
1278,BORBOREMA,PB,NE,5395,5111,0.558,13203,12008,9769.95
1280,BREJO DOS SANTOS,PB,NE,6433,6198,0.619,14665,13256,7223.37
1281,CAAPORA,PB,NE,21698,20362,0.602,60341,56962,17383.64
1282,CABACEIRAS,PB,NE,5503,5035,0.611,13906,12747,7982.46
1283,CABEDELO,PB,NE,66680,57944,0.748,235763,166336,36467.11
1284,CACHOEIRA DOS INDIOS,PB,NE,10182,9546,0.587,16527,14998,10100.64
1285,CACIMBA DE AREIA,PB,NE,3729,3557,0.596,11163,10693,7599.48
1286,CACIMBA DE DENTRO,PB,NE,17159,16748,0.564,30256,27078,6159.41
1287,CACIMBAS,PB,NE,7145,6814,0.523,19932,17220,6258.96
1288,CAICARA,PB,NE,7292,7220,0.592,15432,14396,7660.84
1289,CAJAZEIRAS,PB,NE,61776,58446,0.679,101393,96808,15508.42
1290,CAJAZEIRINHAS,PB,NE,3181,3033,0.55,12641,11796,8054.77
1292,CAMALAU,PB,NE,5994,5749,0.567,14456,13185,8685.59
1293,CAMPINA GRANDE,PB,NE,407472,385213,0.72,729993,704309,19696.95
1294,CAPIM,PB,NE,6424,5601,0.533,14299,13701,7783.06
1295,CARAUBAS,PB,NE,4140,3899,0.585,12635,10779,7428.81
1296,CARRAPATEIRA,PB,NE,2631,2378,0.603,10879,10582,8626.33
1297,CASSERENGUE,PB,NE,7431,7058,0.514,15262,14109,6858.88
1298,CATINGUEIRA,PB,NE,4929,4812,0.574,12289,11365,7197.65
1299,CATOLE DO ROCHA,PB,NE,30343,28759,0.64,44558,40851,11143.29
1300,CATURITE,PB,NE,4807,4543,0.623,14157,13045,12381.81
1301,CONCEICAO,PB,NE,18904,18363,0.592,32674,30844,7532.79
1302,CONDADO,PB,NE,6649,6584,0.594,14262,12272,7288.81
1303,CONDE,PB,NE,24323,21400,0.618,61178,59434,23605.11
1304,CONGO,PB,NE,4785,4687,0.581,14888,13034,9847.83
1305,COREMAS,PB,NE,15423,15149,0.592,25473,23210,8464.78
1306,COXIXOLA,PB,NE,1907,1771,0.641,9461,8574,8767.03
1307,CRUZ DO ESPIRITO SANTO,PB,NE,17366,16257,0.552,27097,24708,7209.91
1308,CUBATI,PB,NE,7763,6866,0.566,15620,15212,7696.21
1309,CUITE,PB,NE,20343,19978,0.591,40456,39105,8300.65
1310,CUITEGI,PB,NE,6823,6889,0.57,15539,14661,7035.23
1311,CUITE DE MAMANGUAPE,PB,NE,6349,6202,0.524,15655,15731,8034.16
1313,CURRAL VELHO,PB,NE,2521,2505,0.606,11009,10276,8161.85
1315,DESTERRO,PB,NE,8279,7991,0.58,15796,15442,6524.33
1316,VISTA SERRANA,PB,NE,3773,3512,0.566,11683,9656,7140.81
1318,DONA INES,PB,NE,10429,10517,0.545,23148,22609,6680.58
1319,DUAS ESTRADAS,PB,NE,3610,3638,0.603,13041,11588,10022.89
1320,EMAS,PB,NE,3505,3317,0.595,11652,11006,7626.04
1321,ESPERANCA,PB,NE,33003,31095,0.623,63284,59620,11274.7
1322,FAGUNDES,PB,NE,11355,11405,0.56,20757,19707,7618.67
1323,FREI MARTINHO,PB,NE,2990,2933,0.641,12400,10688,8329.09
1324,GADO BRAVO,PB,NE,8448,8376,0.513,18626,17457,6433.61
1325,GUARABIRA,PB,NE,58492,55326,0.673,96260,86720,14626.05
1326,GURINHEM,PB,NE,14131,13872,0.556,26840,23559,8048.78
1327,GURJAO,PB,NE,3403,3159,0.625,11514,10400,8315.88
1328,IBIARA,PB,NE,5956,6031,0.586,14457,13174,7080.18
1329,IMACULADA,PB,NE,11790,11352,0.557,20224,18400,5837.02
1331,ITABAIANA,PB,NE,24537,24481,0.613,38702,36750,9945.86
1332,ITAPORANGA,PB,NE,24653,23192,0.615,36131,33020,10049.0
1333,ITAPOROROCA,PB,NE,18501,16997,0.564,29022,26868,8148.78
1334,ITATUBA,PB,NE,10801,10201,0.562,21699,19122,8223.74
1336,JERICO,PB,NE,7732,7538,0.603,16155,14661,7192.48
1337,JOAO PESSOA,PB,NE,800323,723515,0.763,1935888,1810283,23169.14
1339,JUAZEIRINHO,PB,NE,18041,16776,0.567,33762,30085,7569.46
1341,JURIPIRANGA,PB,NE,10717,10237,0.548,20727,19906,8157.19
1342,JURU,PB,NE,9886,9826,0.57,19982,19994,6448.55
1343,LAGOA,PB,NE,4679,4681,0.563,12916,12266,6749.17
1345,LAGOA SECA,PB,NE,27385,25900,0.627,45105,42350,8668.81
1346,LASTRO,PB,NE,2749,2841,0.533,12021,10613,7878.69
1347,LIVRAMENTO,PB,NE,7371,7164,0.566,15420,14640,6652.79
1349,LUCENA,PB,NE,12944,11730,0.583,28625,27336,15657.86
1351,MALTA,PB,NE,5766,5613,0.642,13714,12230,7692.44
1352,MAMANGUAPE,PB,NE,44657,42303,0.585,64328,60784,11547.78
1353,MANAIRA,PB,NE,11092,10759,0.543,18428,16102,5738.58
1354,MARCACAO,PB,NE,8460,7609,0.529,16532,14363,8226.08
1356,MARIZOPOLIS,PB,NE,6565,6173,0.608,16405,15505,7158.1
1357,MASSARANDUBA,PB,NE,13742,12902,0.567,22187,21139,6942.96
1358,MATARACA,PB,NE,8327,7407,0.536,25384,23000,24862.73
1359,MATINHAS,PB,NE,4516,4321,0.541,12042,10805,9494.89
1360,MATO GROSSO,PB,NE,2889,2702,0.565,11233,10043,7142.48
1361,MATUREIA,PB,NE,6506,5939,0.572,14918,13604,6726.9
1362,MOGEIRO,PB,NE,13308,12491,0.574,27815,28080,7985.11
1363,MONTADAS,PB,NE,5598,4990,0.59,13633,12885,9836.78
1364,MONTE HOREBE,PB,NE,4789,4508,0.587,14319,13138,6746.74
1365,MONTEIRO,PB,NE,33007,30852,0.628,60759,56295,12315.81
1366,MULUNGU,PB,NE,9878,9469,0.565,17414,15841,6757.82
1368,NAZAREZINHO,PB,NE,7312,7280,0.562,17755,16729,6908.63
1369,NOVA FLORESTA,PB,NE,10651,10533,0.601,18088,16144,7175.7
1370,NOVA OLINDA,PB,NE,5978,6070,0.573,14642,14511,6916.79
1371,NOVA PALMEIRA,PB,NE,4840,4361,0.595,13842,12279,7583.22
1373,OLIVEDOS,PB,NE,3912,3627,0.603,12051,10490,7307.72
1374,OURO VELHO,PB,NE,3033,2928,0.614,11128,9148,8993.1
1375,PARARI,PB,NE,1786,1256,0.584,9726,9219,9217.77
1376,PASSAGEM,PB,NE,2402,2233,0.62,11537,10106,9089.85
1378,PAULISTA,PB,NE,12260,11788,0.587,24347,22889,8295.83
1379,PEDRA BRANCA,PB,NE,3800,3721,0.599,14200,14833,7729.34
1380,PEDRA LAVRADA,PB,NE,7766,7475,0.574,21147,21461,8378.82
1381,PEDRAS DE FOGO,PB,NE,28389,27032,0.59,74010,72785,14709.43
1382,PIANCO,PB,NE,16038,15465,0.621,38018,43233,10234.55
1383,PICUI,PB,NE,18706,18222,0.608,40966,38265,8419.79
1385,PILOES,PB,NE,6680,6978,0.56,16046,15016,8525.03
1386,PILOEZINHOS,PB,NE,5105,5155,0.564,13520,13424,7841.38
1387,PIRPIRITUBA,PB,NE,10572,10326,0.595,19485,16416,6940.51
1388,PITIMBU,PB,NE,18904,17024,0.57,6368,4666,8201.02
1389,POCINHOS,PB,NE,18429,17032,0.591,36144,33044,11294.22
1390,POCO DANTAS,PB,NE,3777,3751,0.525,17503,15464,7159.81
1391,POCO DE JOSE DE MOURA,PB,NE,4276,3978,0.612,16969,13634,8497.32
1392,POMBAL,PB,NE,32749,32110,0.634,59308,56927,10359.15
1393,PRATA,PB,NE,4141,3854,0.608,12703,12689,8654.66
1394,PRINCESA ISABEL,PB,NE,23215,21283,0.606,37447,38281,8013.35
1395,PUXINANA,PB,NE,13630,12923,0.617,20038,19738,6466.27
1396,QUEIMADAS,PB,NE,43917,41049,0.608,74771,74585,9482.18
1397,QUIXABA,PB,NE,1929,1699,0.622,11568,10257,9525.73
1398,REMIGIO,PB,NE,19340,17581,0.607,35224,31195,7921.84
1399,PEDRO REGIS,PB,NE,6064,5765,0.542,13208,12337,7053.49
1400,RIACHAO,PB,NE,3564,3266,0.574,12250,10937,7474.93
1401,RIACHAO DO BACAMARTE,PB,NE,4500,4264,0.553,12789,11378,8250.87
1402,RIACHAO DO POCO,PB,NE,4477,4164,0.555,13726,12160,8652.15
1403,RIACHO DE SANTO ANTONIO,PB,NE,1951,1722,0.594,11018,10287,9927.78
1404,RIACHO DOS CAVALOS,PB,NE,8587,8314,0.568,17594,16950,7253.77
1405,RIO TINTO,PB,NE,24088,22976,0.585,41953,38995,9525.77
1406,SALGADINHO,PB,NE,3919,3508,0.563,12331,11060,6197.62
1407,SALGADO DE SAO FELIX,PB,NE,12149,11976,0.568,23275,21216,7871.47
1408,SANTA CECILIA DE UMBUZEIRO,PB,NE,6574,6658,0.525,15606,14241,7981.34
1409,SANTA CRUZ,PB,NE,6585,6471,0.618,14482,13470,6942.18
1410,SANTA HELENA,PB,NE,5907,5369,0.609,18119,15533,7279.27
1411,SANTA INES,PB,NE,3597,3539,0.572,11272,9604,7090.49
1412,SANTA LUZIA,PB,NE,15336,14719,0.682,31028,26757,10847.78
1414,SANTANA DOS GARROTES,PB,NE,7077,7266,0.594,14446,13010,6863.27
1415,SANTAREM,PB,NE,2685,2615,0.622,12970,11863,8227.81
1416,SANTA RITA,PB,NE,135807,120310,0.627,206843,205023,16156.46
1417,SANTA TERESINHA,PB,NE,4585,4581,0.627,13149,12094,8198.15
1418,SANTO ANDRE,PB,NE,2532,2638,0.6,10773,9839,8460.78
1419,SAO BENTO,PB,NE,33796,30879,0.58,55162,50949,10212.16
1420,SAO BENTINHO,PB,NE,4492,4138,0.606,11765,10550,8384.22
1422,SAO DOMINGOS DE POMBAL,PB,NE,3087,2855,0.548,12390,10448,7515.23
1423,SAO FRANCISCO,PB,NE,3371,3364,0.58,12360,10720,8126.47
1425,SAO JOAO DO TIGRE,PB,NE,4430,4396,0.552,10363,8559,6307.95
1426,SAO JOSE DA LAGOA TAPADA,PB,NE,7680,7564,0.53,18634,16736,6773.09
1427,SAO JOSE DE CAIANA,PB,NE,6255,6010,0.565,13829,12950,6312.33
1428,SAO JOSE DE ESPINHARAS,PB,NE,4665,4760,0.577,12515,11612,8094.05
1429,SAO JOSE DOS RAMOS,PB,NE,5915,5508,0.541,15574,14495,6978.32
1430,SAO JOSE DE PIRANHAS,PB,NE,20053,19096,0.591,36961,33600,9068.33
1431,SAO JOSE DE PRINCESA,PB,NE,3908,4219,0.565,10789,9717,6127.34
1432,SAO JOSE DO BONFIM,PB,NE,3526,3233,0.578,11780,10926,5778.62
1433,SAO JOSE DO BREJO DO CRUZ,PB,NE,1791,1684,0.581,11615,9875,9648.62
1434,SAO JOSE DO SABUGI,PB,NE,4134,4010,0.617,12578,11838,9071.88
1435,SAO JOSE DOS CORDEIROS,PB,NE,3723,3985,0.556,11153,10584,6529.38
1436,SAO MAMEDE,PB,NE,7745,7748,0.641,16728,16079,8102.68
1438,SAO SEBASTIAO DE LAGOA DE ROCA,PB,NE,11753,11041,0.594,22921,24222,6496.95
1441,SERIDO,PB,NE,10728,10230,0.555,20120,19625,5459.7
1442,SERRA BRANCA,PB,NE,13630,12973,0.628,26200,24868,8092.16
1443,SERRA DA RAIZ,PB,NE,3141,3204,0.626,12031,10233,8607.21
1444,SERRA GRANDE,PB,NE,3089,2975,0.586,11865,10758,13917.5
1445,SERRA REDONDA,PB,NE,7041,7050,0.57,13346,11951,7234.59
1446,SERRARIA,PB,NE,6131,6238,0.547,13286,11749,8266.22
1447,SERTAOZINHO,PB,NE,4958,4395,0.621,14145,11891,8126.29
1448,SOBRADO,PB,NE,7751,7373,0.573,16737,14705,9293.97
1449,SOLANEA,PB,NE,26592,26693,0.595,39851,38244,8773.29
1450,SOLEDADE,PB,NE,14837,13739,0.616,30871,26937,11008.62
1451,SOSSEGO,PB,NE,3516,3169,0.573,11819,10438,7810.9
1452,SOUSA,PB,NE,69161,65803,0.668,98148,100060,14149.9
1453,SUME,PB,NE,16864,16060,0.627,71212,33672,9310.21
1454,TACIMA,PB,NE,10887,10262,0.551,19856,18466,6155.71
1455,TAPEROA,PB,NE,15185,14936,0.578,29716,26010,7205.61
1456,TAVARES,PB,NE,14614,14103,0.586,28237,27453,6786.16
1457,TEIXEIRA,PB,NE,15072,14153,0.605,26855,26132,7790.64
1459,TRIUNFO,PB,NE,9466,9220,0.609,16000,15821,6958.59
1463,VIEIROPOLIS,PB,NE,5323,5045,0.571,13569,11458,6591.32
1464,ZABELE,PB,NE,2225,2075,0.623,10363,8559,7347.96
1465,ABREU E LIMA,PE,NE,99622,94429,0.679,141387,126132,13438.04
1466,AFOGADOS DA INGAZEIRA,PE,NE,37111,35088,0.657,69953,70793,9933.16
1467,AFRANIO,PE,NE,19456,17586,0.588,45630,44534,7535.09
1468,AGRESTINA,PE,NE,24702,22679,0.592,51082,61914,8144.78
1469,AGUA PRETA,PE,NE,36454,33095,0.553,63197,72042,6181.19
1470,AGUAS BELAS,PE,NE,43195,40235,0.526,71988,69830,6700.34
1471,ALAGOINHA,PE,NE,14554,13759,0.599,33323,30230,7831.67
1472,ALIANCA,PE,NE,38375,37415,0.604,68408,76701,6922.46
1473,ALTINHO,PE,NE,22959,22353,0.598,38576,38268,5941.51
1474,AMARAJI,PE,NE,22788,21939,0.58,44786,43096,7446.77
1476,ARACOIABA,PE,NE,20312,18156,0.592,36010,35021,5784.63
1477,ARARIPINA,PE,NE,83964,77302,0.602,132466,129709,9143.71
1478,ARCOVERDE,PE,NE,73844,68793,0.667,132366,124101,11052.18
1479,BARRA DE GUABIRABA,PE,NE,14257,12776,0.577,30934,26733,6060.3
1481,BELEM DE MARIA,PE,NE,12023,11353,0.578,25030,25373,5271.03
1482,BELEM DE SAO FRANCISCO,PE,NE,20728,20253,0.642,40414,41533,7727.18
1483,BELO JARDIM,PE,NE,76185,72432,0.629,145128,127993,17175.93
1484,BETANIA,PE,NE,12671,12003,0.559,28290,26306,5526.28
1485,BEZERROS,PE,NE,60714,58668,0.606,97983,96918,10107.84
1486,BODOCO,PE,NE,37909,35158,0.565,67907,65298,6165.84
1487,BOM CONSELHO,PE,NE,48336,45503,0.563,85674,83796,9061.67
1488,BOM JARDIM,PE,NE,39132,37826,0.602,56092,62861,6388.63
1489,BONITO,PE,NE,38152,37566,0.561,72398,69568,8344.73
1490,BREJAO,PE,NE,8999,8844,0.547,24108,26545,10401.73
1491,BREJINHO,PE,NE,7486,7307,0.574,18559,20180,6436.37
1492,BREJO DA MADRE DE DEUS,PE,NE,50249,45180,0.562,79685,73802,6082.02
1493,BUENOS AIRES,PE,NE,13119,12537,0.593,26481,24294,6233.87
1494,BUIQUE,PE,NE,57825,52105,0.527,77421,72868,6010.04
1495,CABO DE SANTO AGOSTINHO,PE,NE,205112,185025,0.686,606432,556394,39492.78
