,LocalCidade,LocalUF,RegiaoBrasil,PopEstimada_2018,PopCenso_2010,IDHM,ReceitasRealizadas_2014,DespesasEmpenhadas_2014,Pib_2014
99,HUMAITA,AM,N,54001,44227,0.605,88109,84026,8778.41
100,IPIXUNA,AM,N,28933,22254,0.481,33458,27739,4487.25
101,IRANDUBA,AM,N,47571,40781,0.613,95790,90314,13628.57
102,ITACOATIARA,AM,N,99955,86839,0.644,210822,199346,18129.59
105,JAPURA,AM,N,3265,7326,0.522,34851,31037,11805.12
106,JURUA,AM,N,14312,10802,0.522,45040,43776,6844.66
107,JUTAI,AM,N,14753,17992,0.516,47846,55261,11849.71
108,LABREA,AM,N,45245,37701,0.531,72745,64588,9037.4
109,MANACAPURU,AM,N,96236,85141,0.614,143517,147241,14995.57
110,MANAQUIRI,AM,N,31147,22801,0.596,43240,40823,8141.96
111,MANAUS,AM,N,2145444,1802014,0.737,4262280,3785748,32592.94
112,MANICORE,AM,N,54907,47017,0.582,104934,100828,9292.86
113,MARAA,AM,N,18186,17528,0.498,43965,44398,6648.93
114,MAUES,AM,N,62755,52236,0.588,111623,108567,6351.26
116,NOVA OLINDA DO NORTE,AM,N,36721,30696,0.558,55548,48799,5568.46
117,NOVO AIRAO,AM,N,18974,14723,0.57,29763,23066,6617.61
118,NOVO ARIPUANA,AM,N,25237,21451,0.554,36871,33485,6633.86
119,PARINTINS,AM,N,113168,102033,0.658,179800,180649,8526.46
121,PRESIDENTE FIGUEIREDO,AM,N,35352,27175,0.647,172822,150123,23179.25
123,SANTA ISABEL DO RIO NEGRO,AM,N,24436,18146,0.479,31619,26515,6831.34
124,SANTO ANTONIO DO ICA,AM,N,21966,24481,0.49,51244,47053,6312.81
125,SAO GABRIEL DA CACHOEIRA,AM,N,44816,37896,0.609,72949,67879,6165.43
126,SAO PAULO DE OLIVENCA,AM,N,38515,31422,0.521,61016,58624,5307.37
127,SAO SEBASTIAO DO UATUMA,AM,N,13685,10705,0.577,24626,22331,6613.62
128,SILVES,AM,N,9110,8444,0.632,24456,24798,11551.94
130,TAPAUA,AM,N,17299,19077,0.502,41159,33771,11083.25
131,TEFE,AM,N,60154,61453,0.639,113035,105775,11385.78
132,TONANTINS,AM,N,18610,17079,0.548,41939,37753,6204.83
133,UARINI,AM,N,13387,11891,0.527,32348,31455,9969.24
134,URUCARA,AM,N,16383,17094,0.62,40548,38714,18067.7
137,ALTO ALEGRE,RR,N,15638,16448,0.542,26677,37797,13824.9
138,BOA VISTA,RR,N,375374,284313,0.752,882193,891077,23570.22
139,BONFIM,RR,N,12257,10943,0.626,26250,24824,28548.82
140,CANTA,RR,N,17868,13902,0.619,27574,26508,12878.17
141,CARACARAI,RR,N,21564,18398,0.624,38764,42696,14890.3
142,CAROEBE,RR,N,9950,8114,0.639,17869,20246,16005.04
143,IRACEMA,RR,N,11600,8696,0.582,15815,14446,12235.99
146,PACARAIMA,RR,N,15580,10433,0.65,21518,21937,12327.29
147,RORAINOPOLIS,RR,N,29533,24279,0.619,48653,55484,17567.71
148,SAO JOAO DA BALIZA,RR,N,8052,6769,0.655,14009,16964,16555.18
151,ABAETETUBA,PA,N,156292,141100,0.628,218841,210587,7960.05
152,ABEL FIGUEIREDO,PA,N,7382,6780,0.622,19532,18885,9397.07
153,ACARA,PA,N,55513,53569,0.506,105576,99592,11892.64
158,ALTAMIRA,PA,N,113195,99075,0.665,292258,266029,29710.79
159,ANAJAS,PA,N,28859,24759,0.484,54439,53062,6449.97
160,ANANINDEUA,PA,N,525566,471980,0.718,566161,551898,12339.62
161,ANAPU,PA,N,27161,20543,0.548,54057,49154,11931.6
162,AUGUSTO CORREA,PA,N,45516,40497,0.52,77095,73304,6612.35
167,BANNACH,PA,N,3310,3431,0.594,17408,15768,20975.51
169,BELEM,PA,N,1485732,1393399,0.746,2714736,2588664,20340.21
171,BENEVIDES,PA,N,61689,51651,0.665,97416,98867,20534.17
172,BOM JESUS DO TOCANTINS,PA,N,16841,15298,0.589,28799,29073,8325.69
175,BRASIL NOVO,PA,N,15190,15690,0.613,38583,40198,13663.95
177,BREU BRANCO,PA,N,64738,52493,0.568,101476,97138,8506.72
179,BUJARU,PA,N,28832,25695,0.552,45372,40536,13668.64
180,CACHOEIRA DO PIRIA,PA,N,33178,26484,0.473,41912,41978,4824.65
184,CAPANEMA,PA,N,68616,63639,0.655,102206,94509,14477.88
185,CAPITAO POCO,PA,N,54179,51893,0.548,70817,64549,8209.39
186,CASTANHAL,PA,N,198294,173149,0.673,305224,299952,16685.6
187,CHAVES,PA,N,23482,21005,0.453,45136,53073,7457.48
188,COLARES,PA,N,12040,11381,0.602,20170,21577,5382.05
189,CONCEICAO DO ARAGUAIA,PA,N,47734,45557,0.64,79482,72395,11262.13
190,CONCORDIA DO PARA,PA,N,32847,28216,0.566,53799,65542,8159.03
192,CURIONOPOLIS,PA,N,18014,18288,0.636,55767,53212,19513.08
194,CURUA,PA,N,14197,12254,0.578,27683,27543,6951.1
196,DOM ELISEU,PA,N,58956,51319,0.615,88868,93847,10101.09
198,FARO,PA,N,7319,8177,0.563,18944,15523,6945.04
199,FLORESTA DO ARAGUAIA,PA,N,20080,17768,0.583,45273,45225,17250.9
201,GOIANESIA DO PARA,PA,N,39857,30436,0.56,75126,82918,8768.17
203,IGARAPE-ACU,PA,N,38588,35887,0.595,48715,45910,8008.51
205,INHANGAPI,PA,N,11559,10037,0.572,20356,20007,8652.36
206,IPIXUNA DO PARA,PA,N,62455,51309,0.489,79425,82273,7481.06
207,IRITUIA,PA,N,32504,31364,0.559,47789,46967,6179.61
208,ITAITUBA,PA,N,101097,97493,0.64,187292,189356,15981.15
209,ITUPIRANGA,PA,N,53182,51220,0.528,86881,83874,8794.76
210,JACAREACANGA,PA,N,8899,14103,0.505,67779,63264,4945.44
